"","id","host_is_superhost","host_identity_verified","room_type","accommodates","bathrooms","bedrooms","price"
"1",241016,"True","True","Entire home/apt",NA,"1",3,215
"2",241032,"True","True","Entire home/apt",4,"1",1,165
"3",278830,"False","False","Entire home/apt",6,"two",3,299
"4",704764,"True","True","Entire home/apt",5,"1",2,145
"5",757840,"True","True","Entire home/apt",10,"2",4,300
"6",1110749,"False","True","Entire home/apt",6,"1.5",3,325
"7",1112092,"True","True","Entire home/apt",3,"2",1,135
"8",1820794,"True","True","Entire home/apt",2,"2",0,130
"9",1909058,"True","True","Private room",2,"2",1,90
"10",2481189,"True","True","Entire home/apt",6,"two",3,250
"11",2481869,"True","True","Entire home/apt",4,"2",1,199
"12",2586642,"False","False","Entire home/apt",4,"2",2,135
"13",2692126,"True","True","Entire home/apt",2,"1",1,95
"14",2923529,"True","True","Entire home/apt",4,"2",1,100
"15",2998728,"True","False","Entire home/apt",8,"two",4,300
"16",3269390,"True","False","Entire home/apt",2,"2",0,130
"17",3308979,"False","False","Entire home/apt",10,"3.5",4,900
"18",3382533,"True","True","Entire home/apt",4,"1",1,199
"19",3401644,"False","True","Entire home/apt",4,"2",1,100
"20",3720511,"False","True","Entire home/apt",6,"2",3,325
"21",3883392,"True","True","Entire home/apt",2,"1",2,185
"22",3890990,"False","True","Entire home/apt",7,"1",2,175
"23",3997861,"False","True","Entire home/apt",2,"1",1,175
"24",4077415,"False","False","Entire home/apt",3,"2",1,69
"25",4218733,"True","True","Entire home/apt",4,"1",1,200
"26",4555997,"True","True","Entire home/apt",4,"2",0,110
"27",4718369,"False","True","Entire home/apt",6,"1",2,54
"28",4933447,"True","True","Entire home/apt",2,"1",1,99
"29",5052459,"True","True","Entire home/apt",2,"two",1,158
"30",5058086,"True","True","Entire home/apt",2,"2",1,195
"31",5143477,"False","True","Shared room",2,"2",1,500
"32",5383192,"False","True","Entire home/apt",4,"2",2,79
"33",5405643,"False","True","Entire home/apt",6,"2",3,99
"34",5680462,"True","True","Entire home/apt",16,"3.5",6,386
"35",5686435,"False","False","Entire home/apt",8,"2",3,445
"36",5978498,"False","True","Entire home/apt",4,"3",3,175
"37",6115807,"False","False","Entire home/apt",8,"two",3,350
"38",6134153,"False","False","Entire home/apt",NA,"2",2,200
"39",6315614,"False","True","Entire home/apt",4,"2",1,109
"40",6362362,"False","True","Entire home/apt",5,"2",3,400
"41",6389657,"False","True","Entire home/apt",2,"1",0,147
"42",6400000,"False","False","Entire home/apt",3,"1",1,160
"43",6400379,"True","True","Private room",2,"1",1,74
"44",6575380,"False","True","Entire home/apt",3,"1",1,125
"45",6780615,"True","True","Entire home/apt",4,"1",1,199
"46",7035240,"False","False","Entire home/apt",8,"1.5",3,300
"47",7091397,"True","False","Entire home/apt",3,"1",1,150
"48",7227464,"True","True","Entire home/apt",3,"1",1,149
"49",7308567,"False","True","Entire home/apt",3,"1.5",1,200
"50",7404370,"False","True","Entire home/apt",2,"1",1,99
"51",7492877,"False","True","Entire home/apt",4,"1",2,180
"52",7513198,"False","True","Entire home/apt",3,"two",2,250
"53",7637066,"False","True","Private room",2,"two",1,125
"54",7735464,"False","True","Private room",2,"two",1,200
"55",7772661,"True","True","Entire home/apt",2,"1",1,98
"56",7839535,"True","True","Private room",2,"1",1,74
"57",8088447,"False","True","Entire home/apt",3,"1",1,115
"58",8515408,"True","True","Entire home/apt",2,"1",0,81
"59",8570726,"True","True","Entire home/apt",10,"3.5",5,550
"60",8686344,"True","False","Private room",4,"1",1,100
"61",8755479,"False","True","Entire home/apt",4,"two",2,295
"62",8942678,"False","True","Entire home/apt",8,"two",4,450
"63",9025039,"False","True","Entire home/apt",5,"1",2,150
"64",9136499,"False","True","Private room",1,"1",1,100
"65",9167786,"True","True","Private room",2,"1",1,59
"66",9368342,"True","True","Entire home/apt",NA,"1.5",1,120
"67",9465166,"True","True","Entire home/apt",4,"1",2,145
"68",9550869,"False","True","Entire home/apt",NA,"3",3,399
"69",9694921,"True","False","Entire home/apt",6,"two",3,129
"70",10949926,"True","True","Entire home/apt",6,"1",2,99
"71",11303784,"False","True","Private room",2,"1",1,190
"72",11535056,"False","True","Entire home/apt",4,"3.5",4,140
"73",11601374,"True","True","Entire home/apt",2,"1",1,140
"74",11687866,"False","False","Private room",2,"1",1,89
"75",11743748,"True","True","Entire home/apt",4,"1",0,85
"76",12019464,"False","True","Entire home/apt",NA,"1",0,85
"77",12042411,"True","True","Entire home/apt",8,"two",4,350
"78",12170734,"True","True","Entire home/apt",9,"1",4,300
"79",12537842,"False","False","Entire home/apt",8,"3.5",4,425
"80",13081598,"True","True","Entire home/apt",4,"1",1,117
"81",13098840,"True","True","Entire home/apt",NA,"1",3,250
"82",13127819,"False","True","Entire home/apt",2,"1",0,72
"83",13247100,"True","False","Entire home/apt",7,"1.5",3,375
"84",13300950,"False","False","Entire home/apt",8,"two",3,520
"85",13437692,"True","True","Private room",2,"1",1,84
"86",13496747,"True","False","Entire home/apt",3,"1",1,119
"87",13532046,"True","True","Entire home/apt",6,"two",3,154
"88",14166842,"True","False","Private room",2,"1",1,67
"89",14179816,"False","True","Private room",2,"1",1,83
"90",14186845,"True","True","Entire home/apt",2,"1",0,98
"91",14360019,"False","True","Entire home/apt",2,"1",1,125
"92",14406684,"False","True","Private room",2,"1",1,50
"93",14522498,"True","True","Entire home/apt",4,"1",1,83
"94",14577606,"False","False","Entire home/apt",NA,"1",1,80
"95",14634063,"True","True","Entire home/apt",4,"1",1,109
"96",14757957,"False","True","Entire home/apt",3,"1",1,95
"97",14872179,"True","True","Entire home/apt",NA,"1",1,129
"98",15117022,"True","False","Entire home/apt",3,"1",0,135
"99",15407909,"True","True","Entire home/apt",12,"3.5",5,750
"100",15537773,"True","True","Entire home/apt",6,"1",2,99
"101",15633363,"False","True","Private room",NA,"1.5",1,85
"102",15641532,"False","True","Private room",2,"1",1,129
"103",15720601,"False","False","Entire home/apt",4,"1.5",2,95
"104",15776053,"True","False","Entire home/apt",3,"1",1,100
